,Type,Score,prop.spp.Salinity.BF,prop.spp.HighMotility,prop.ind.most.tol,prop.spp.BCG3
405BRCASG_5.7.14_1,ref,0.713709196,1.427418392,NA,NA,0
405BRCSGR_5.28.08_1,ref,0.929029035,NA,1.075177306,0.941513943,0.770395856
405SGRAAG_5.28.08_1,ref,1.437566974,1.733946916,1.139397749,1.439356257,NA
405WER318_3.27.09_1,ref,1.322943879,1.129304913,1.136653029,NA,1.702873696
405WER318_4.30.09_1,ref,1.352546141,1.426222811,NA,1.547242909,1.084172702
405WER318_6.2.09_1,ref,1.234608114,NA,1.749844629,0.990984894,0.96299482
405WER318_7.7.09_1,ref,1.439749107,1.740493314,1.139397749,1.439356257,NA
405WER318_8.18.09_1,ref,1.068753066,1.13152717,1.088857782,NA,0.985874245
504DCFRxx_7.27.10_1,ref,1.366843357,1.435914725,NA,1.749844629,0.914770717
504PS0227_8.12.09_1,ref,0.817798973,NA,0.700362126,0.611707599,1.141327194
504WE0527_7.2.13_1,ref,1.180941134,1.7457711,0.717665533,1.079386769,NA
504WE0527_7.2.13_2,ref,1.075385265,1.130329476,0.799022505,NA,1.296803815
505BMCMCR_8.4.10_1,ref,1.263211479,1.428717472,NA,1.385161533,0.975755432
505BMCMCR_8.4.10_2,ref,1.05451234,NA,1.300066413,1.007475211,0.855995395
505LBCAMR_8.7.13_1,ref,1.072720026,1.737166834,0.733886003,0.747107242,NA
505PS0110_8.3.10_1,ref,1.434434317,1.134874939,1.439356257,NA,1.729071753
505PS0110_9.16.10_1,ref,1.170790771,1.428769976,NA,1.418314542,0.665287794
505PS0174_9.27.11_1,ref,0.933957144,NA,1.035490992,0.860032375,0.906348065
506PS0062_9.15.08_1,ref,1.308855943,1.74777992,1.139397749,1.039390159,NA
507MZCAML_7.17.12_1,ref,1.004469163,0.95732401,0.946062107,NA,1.110021372
507MZCAML_7.17.12_2,ref,1.139087026,1.318057231,NA,1.489356703,0.609847145
509ACNFPP_7.30.08_1,ref,0.967196505,NA,1.075177306,0.901937182,0.924475027
509ACNFPP_9.16.08_1,ref,1.001114436,1.33355254,0.714264467,0.9555263,NA
509ACNFPP_9.25.14_1,ref,0.85735496,1.132708622,1.439356257,NA,0
509ACSFPP_7.16.08_1,ref,1.170882589,1.42904543,NA,1.418314542,0.665287794
509ATCINC_7.14.08_1,ref,0.885844089,NA,0.940243841,0.854445068,0.862843358
509BSCADC_8.31.11_1,ref,1.43809904,1.735543113,1.139397749,1.439356257,NA
509CBCADC_8.24.10_1,ref,1.23286953,1.129362205,0.963679755,NA,1.605566628
509CTCADC_7.10.12_1,ref,0.715330935,1.430661869,NA,NA,0
509CWCPLR_7.7.08_1,ref,0.920068046,NA,0.897633273,0.889439257,0.973131607
509FCA054_8.27.13_1,ref,1.048607259,1.603750107,0.427012249,1.115059421,NA
509ICPPCX_7.30.08_1,ref,0.965760442,1.041584904,0.606922379,NA,1.248774044
509ICPPCX_9.10.08_1,ref,1.09670539,1.320281147,NA,1.098624815,0.871210207
509MLC145_8.6.13_1,ref,0.759882784,NA,0.705198451,0.679796651,0.894653252
509PCDTWR_7.15.08_1,ref,0.970532039,1.601582419,0.370615064,0.939398635,NA
509PCDTWR_9.3.08_1,ref,0.8557404,0.86939592,0.405990064,NA,1.291835218
509PMC197_7.2.14_1,ref,0.71443225,1.4288645,NA,NA,0
509PS0085_9.7.11_1,ref,0.885159332,NA,0.700362126,0.699655957,1.255459913
509PS0085_9.7.11_2,ref,1.046365898,1.466628592,0.674251923,0.998217179,NA
509PS0170_7.26.10_1,ref,0.874649845,1.129048395,0.995391522,NA,0.499509618
509PS0234_7.21.11_1,ref,1.014140402,0.985815219,NA,1.202819985,0.853786003
509PS0234_8.15.11_1,ref,0.939221369,NA,1.026986782,0.800168367,0.990508957
509PS0334_9.12.12_1,ref,1.054954295,1.601101125,0.524371601,1.039390159,NA
513BTCACC_9.10.08_1,ref,1.016277196,0.86737874,0.715500711,NA,1.465952139
513BTCACC_9.10.08_2,ref,1.151349253,1.214691825,NA,1.263600501,0.975755432
513CCNASC_7.16.14_1,ref,0.874922315,NA,1.749844629,NA,0
513PS0008_6.11.09_1,ref,1.007862022,1.334659231,0.723214641,0.965712194,NA
513PS0008_6.25.08_1,ref,1.040300138,1.046168386,1.088857782,NA,0.985874245
513PS0008_8.7.08_1,ref,1.00023307,1.210824773,NA,1.180027292,0.609847145
513PS0008_9.1.10_1,ref,1.035602415,NA,1.316129921,0.800168367,0.990508957
513PS0200_7.30.12_1,ref,0.916188377,1.47032776,0.53113013,0.747107242,NA
513STCAIV_6.12.14_1,ref,0.856512272,1.130180558,1.439356257,NA,0
513STCAIV_6.27.12_1,ref,1.263665896,1.431305914,NA,1.749844629,0.609847145
513UNCAKC_5.20.09_1,ref,1.022036719,NA,0.693843601,0.932910299,1.439356257
513UNCAKC_6.4.09_1,ref,0.790409588,1.333159097,0.348649844,0.689419824,NA
